surah,ayat,terjemahan_lemmatized
2,41,rim turun al quran benar pada taurat kafir tukar ayat ayat ku harga rendah takwa
2,42,campur aduk hak bathil sembunyi hak
2,43,diri shalat tunai zakat ruku serta ruku
2,44,suruh bakti lupa wajib baca al kitab taurat pikir
2,45,jadi sabar shalat tolong berat kecuali khusyu
2,46,temu tuhan nya
2,47,bani israil ingat nikmat ku anugerah kepada ingat lebih umat
2,48,jaga diri azab kiamat bela sedikit terima syafaat tebus tolong
2,49,ingat selamat firaun ikut ikut timpa kepada siksa berat berat sembelih anak anak laki laki biar hidup anak anak perempuan coba coba tuhan
2,50,ingat belah laut untuk selamat tenggelam firaun ikut ikut saksi
2,51,ingat janji musa taurat puluh malam jadi anak lembu sembah tinggal zalim
2,52,maaf salah syukur
2,53,ingat musa al kitab taurat terang beda salah tunjuk
2,54,ingat musa kaum kaum aniaya diri jadi anak lembu sembah taubat tuhan jadi bunuh diri bagi sisi tuhan jadi allah terima taubat terima taubat sayang
2,55,ingat musa iman kepada allah terang sambar halilintar saksi
2,56,bangkit mati syukur
2,57,naung awan turun kepada manna salwa makan makan kepada aniaya aniaya
2,58,ingat firman masuk negeri baitul maqdis makan hasil bumi enak mana suka masuk pintu gerbang sujud bebas dosa ampun salah salah kelak tambah beri buat
2,59,zalim ganti perintah perintah timpa zalim langit buat fasik
2,60,ingat musa mohon air kaum firman pukul batu tongkat pancar daripada belas mata air suku minum makan minum rezeki allah liar bumi buat rusa
2,61,ingat musa sabar tahan makan mohon tuhan keluar tumbuh bumi sayur mayur timun bawang putih kacang adas bawang merah musa mau ambil rendah ganti pergi kota oleh ditimpahkanlah nista hina murka allah ingkar ayat ayat allah bunuh nabi benar buat durhaka lampau batas
2,62,mukmin yahudi nasrani shabiin iman allah amal saleh terima pahala tuhan khawatir sedih hati
2,63,ingat ambil janji angkat gunung thursina atas seraya firman pegang teguh teguh kepada ingat dalam takwa
2,64,paling janji karunia allah rahmat nya atas golong rugi
2,65,tahu langgar antara sabtu firman kera hina
2,66,jadi ingat masa ajar takwa
2,67,ingat musa kaum allah suruh sembelih ekor sapi betina jadi buah ejek musa lindung allah salah jahil
2,68,mohon tuhan terang sapi betina musa allah firman sapi betina sapi betina tua muda tengah kerja perintah kepada
2,69,mohon tuhan terang warna musa allah firman sapi betina sapi betina kuning kuning tua warna senang pandang
2,70,mohon tuhan terang hakikat sapi betina sapi samar insya allah tunjuk oleh sapi
2,71,musa allah firman sapi betina sapi betina pakai bajak tanah air tanam cacat belang baru terang hakikat sapi betina sembelih laksana perintah
2,72,ingat bunuh manusia tuduh tuduh allah singkap sembunyi
2,73,firman pukul mayat anggota sapi betina allah hidup mati dam pada tanda tanda kuasa nya erti
2,74,hati keras batu keras batu batu alir sungai sungai belah keluar mata air luncur jatuh takut allah allah lengah kerja
2,75,harap percaya kepada golong dengar firman allah ubah paham
2,76,jumpa iman kami iman cerita mukmin terang allah kepada kalah hujjahmu hadap tuhan erti
2,77,allah sembunyi nyata
2,78,buta huruf al kitab taurat kecuali dongeng bohong belaka duga duga
2,79,celaka besar tulis al kitab tangan allah maksud oleh untung buat celaka besar akibat tulis tangan celaka besar akibat kerja
2,80,kali sentuh api neraka kecuali terima janji allah allah mungkir janji nya allah tahu
2,81,buat dosa liput dosa huni neraka kekal dalam
2,82,iman amal saleh huni surga kekal dalam
2,83,ingat ambil janji bani israil sembah allah buat baik bapa kaum kerabat anak anak yatim miskin ucap manusia diri shalat tunai zakat penuh janji kecuali paling
2,84,ingat ambil janji tumpah darah bunuh usir diri saudara bangsa kampung halaman ikrar penuh saksi
2,85,bani israil bunuh diri saudara bangsa usir golong kampung halaman bantu bantu dosa musuh kepada tawan tebus usir larang bagi iman al kitab taurat ingkar balas buat daripada nista hidup dunia kiamat kembali siksa berat allah lengah buat
2,86,beli hidup dunia hidup akhirat ringan siksa tolong
2,87,al kitab taurat musa susul rasul rasul bukti bukti benar mukjizat isa putera maryam kuat ruhul qudus kepada rasul bawa ajar sesuai ingin sombong dusta bunuh
2,88,hati tutup allah kutuk ingkar iman
2,89,al quran allah benar mohon datang nabi menang kafir tahu ingkar laknat allah ingkar
2,90,buruk hasil buat jual kafir turun allah dengki allah turun karunia nya hendak nya nya murka murka kafir siksa hina
2,91,rim al quran turun allah iman turun kafir al quran turun al quran kitab hak benar bunuh nabi nabi allah iman
2,92,musa kepada bawa bukti bukti benar mukjizat jadi anak sapi sembah pergi zalim
2,93,ingat ambil janji angkat bukit thursina atas seraya firman pegang teguh teguh kepada dengar dengar taat resap hati cinta sembah anak sapi kafir jahat buat perintah iman kepada iman taurat
2,94,anggap kampung akhirat surga khusus untuk sisi allah ingin mati
2,95,kali ingin mati salah salah tangan allah aniaya
2,96,dapat manusia loba hidup dunia loba musyrik umur ribu umur kali jauh siksa allah kerja
2,97,musuh jibril jibril turun al quran hati izin allah benar kitab kitab tunjuk berita gembira iman
2,98,musuh allah malaikat malaikat nya rasul rasul nya jibril mikail allah musuh kafir
2,99,turun kepada ayat ayat ingkar fasik
2,100,patut ingkar ayat ayat allah kali ikat janji golong lempar iman
2,101,rasul sisi allah benar kitab kitab taurat lempar kitab allah punggung olah kitab allah
2,102,ikut baca syaitan syaitan raja sulaiman sulaiman sihir sulaiman kafir sihir syaitan syaitan kafir sihir ajar sihir manusia turun malaikat negeri babil harut marut ajar orang coba bagi kafir ajar malaikat sihir cerai suami isterinya ahli sihir mudharat sihir orang kecuali izin allah ajar mudharat manfaat tukar kitab allah sihir bagi untung akhirat jahat buat jual sihir
2,103,iman takwa pahala pahala sisi allah
2,104,iman muhammad raaina unzhurna dengar kafir siksa pedih
2,105,kafir ahli kitab musyrik tiada turun baik kepada tuhan allah tentu hendak nya rahmat nya nabi allah karunia
2,106,ayat nasakh jadi manusia lupa datang daripada banding dengan allah kuasa
2,107,tiada raja langit bumi punya allah tiada bagi allah lindung tolong
2,108,rasul bani israil musa jaman tukar iman kafir sesat jalan lurus
2,109,ahli kitab kembali kafir iman dengki timbul nyata benar maaf biar allah perintah nya allah kuasa
2,110,diri shalat tunai zakat baik usaha diri pahala nya sisi allah alah kerja
2,111,yahudi nasrani kali masuk surga kecuali agama yahudi nasrani angan angan kosong belaka tunjuk bukti benar
2,112,serah allah buat kebaji bagi pahala sisi tuhan khawatir sedih hati
2,113,yahudi nasrani pegang nasrani yahudi pegang baca al kitab ucap allah adil kiamat selisih
2,114,aniaya menghalanghalangi sebut nama allah mesjid mesjid nya usaha roboh patut masuk dalam mesjid allah kecuali takut allah dunia hina akhirat siksa berat
2,115,punya allah timur barat mana hadap situ wajah allah allah luas rahmat nya
2,116,kafir allah anak suci allah langit bumi punya allah tunduk nya
2,117,allah cipta langit bumi cipta
2,118,allah langsung bicara tanda tanda kuasa nya ucap hati tanda tanda kuasa kaum
2,119,utus muhammad benar bawa berita gembira beri ingat tanggung huni huni neraka
2,120,yahudi nasrani senang ikut agama tunjuk allah tunjuk ikut mau tahu kepada allah lindung tolong bagi
2,121,al kitab baca baca iman ingkar rugi
2,122,bani israil ingat nikmat ku ku anugerah kepada melabihkan umat
2,123,takut ganti sedikit terima tebus daripada manfaat syafaat tolong
2,124,ingat ibrahim uji tuhan kalimat perintah larang ibrahim tunai allah firman jadi imam manusia ibrahim mohon turun allah firman janji ku zalim
2,125,ingat jadi rumah baitullah kumpul manusia aman jadi maqam ibrahim shalat perintah ibrahim ismail sih rumah ku thawaf itikaf ruku sujud
2,126,ingat ibrahim doa ya tuhan jadi negeri negeri aman sentosa beri rezeki buah buah duduk iman allah allah firman kafir senang paksa jalan siksa neraka buruk buruk
2,127,ingat ibrahim tinggi bina dasar dasar baitullah ismail seraya doa ya tuhan terima amal engkau dengar
2,128,ya tuhan jadi dua tunduk patuh engkau jadi anak cucu umat tunduk patuh engkau tunjuk ibadat haji terima taubat engkau terima taubat sayang
2,129,ya tuhan utus sorang rasul kalang baca ayat ayat engkau ajar al kitab al quran al hikmah as sunnah suci engkau kuasa bijaksana
2,130,benci agama ibrahim bodoh pilih dunia akhirat saleh
2,131,tuhan firman tunduk patuh ibrahim tunduk patuh tuhan semesta alam
2,132,ibrahim wasiat ucap anak anak yaqub ibrahim anak anak allah pilih agama bagi mati kecuali peluk agama islam
2,133,ada hadir yaqub datang tanda tanda maut anak anak sembah tinggal sembah tuhan tuhan nenek moyang ibrahim ismail ishaq tuhan esa tunduk patuh nya
2,134,umat bagi usaha bagi usaha tanggung kerja
2,135,anut agama yahudi nasrani tunjuk ikut agama ibrahim lurus ibrahim golong musyrik
2,136,mukmin iman allah turun turun ibrahim ismail ishaq yaqub anak cucu musa isa nabi nabi tuhan beda beda orang tunduk patuh nya
2,137,iman iman tunjuk paling musuh allah pelihara dengar
2,138,shibghah allah shibghahnya allah nya sembah
2,139,debat allah tuhan tuhan amal amal nya ikhlas hati
2,140,yahudi nasrani ibrahim ismail ishaq yaqub anak cucu anut agama yahudi nasrani allah zalim sembunyi syahadah allah allah kali tiada lengah kerja
2,141,umat bagi usaha bagi usaha tanggung kerja
2,142,akal manusia maling umat islam kiblat baitul maqdis kiblat punya allah timur barat tunjuk hendak nya jalan lurus
2,143,jadi umat islam umat adil pilih saksi buat manusia rasul muhammad saksi buat tetap kiblat kiblat nyata ikut rasul belot pindah kiblat berat kecuali tunjuk allah allah sia nyiakan iman allah asih sayang manusia
2,144,muka tengadah langit maling kiblat suka paling muka arah masjidil haram mana paling muka arah yahudi nasrani al kitab taurat injil paling masjidil haram tuhan allah kali lengah kerja
2,145,yahudi nasrani al kitab taurat injil ayat terang ikut kiblat kamu ikut kiblat mereka ikut kiblat ikut ilmu kepada golong zalim
2,146,yahudi nasrani al kitab taurat injil kenal muhammad kenal anak anak sembunyi benar
2,147,benar tuhan kali ragu
2,148,umat kiblat hadap lomba lomba baik allah kumpul kiamat allah kuasa
2,149,paling wajah arah masjidil haram tentu hak tuhan allah kali lengah kerja
2,150,paling wajah arah masjidil haram mana paling wajah arah hujjah manusia kecuali zalim takut takut ku ku sempurna nikmat ku atas tunjuk
2,151,sempurna nikmat kepada utus kepada rasul baca ayat ayat suci ajar kepada al kitab al hikmah ajar tahu
2,152,ingat ku kepada syukur ku ingkar nikmat ku
2,153,iman jadi sabar shalat tolong allah serta sabar
2,154,gugur jalan allah mati hidup sadar
2,155,coba kepada takut lapar kurang harta jiwa buah buah beri berita gembira sabar
2,156,timpa musibah inna lillaahi wa innaa ilaihi raajiuun
2,157,berkat sempurna rahmat tuhan tunjuk
2,158,shafaa marwa syiar allah ibadah haji baitullah umrah dosa bagi sai kebaji rela hati allah syukur baik
2,159,sembunyi turun terang terang tunjuk terang manusia al kitab laknat allah laknat mahluk laknat
2,160,kecuali taubat ada baik terang benar terima taubat terima taubat sayang
2,161,kafir mati kafir laknat allah malaikat manusia
2,162,kekal laknat ringan siksa tangguh
2,163,tuhan tuhan esa tuhan murah sayang
2,164,cipta langit bumi silih ganti malam siang bahtera layar laut bawa guna manusia allah turun langit air air hidup bumi mati kering nya sebar bumi jenis hewan kisar angin awan kendali langit bumi tanda tanda esa besar allah kaum pikir
2,165,manusia sembah tanding tanding allah cinta cinta allah iman cinta allah anda buat zalim siksa kiamat kuat punya allah allah berat siksa nya sesal
2,166,ikut lepas ikut siksa hubung putus
2,167,kata ikut anda dunia lepas lepas allah amal buat sesal kali api neraka
2,168,manusia makan halal bumi ikut langkah langkah syaitan syaitan musuh nyata bagi
2,169,syaitan suruh buat jahat keji allah tahu
2,170,ikut turun allah ikut dapat buat nenek moyang ikut nenek moyang apa tunjuk
2,171,umpama seru kafir gembala panggil binatang dengar panggil seru tuli bisu buta erti
2,172,iman makan rezeki kepada syukur allah nya sembah
2,173,allah haram bagi bangkai darah daging babi binatang sembelih nama allah paksa makan ingin lampau batas dosa bagi allah kam sayang
2,174,sembunyi turun allah al kitab jual harga murah makan tel perut api allah bicara kiamat suci siksa pedih
2,175,beli sesat tunjuk siksa ampun berani tentang api neraka
2,176,allah turun al kitab bawa benar selisih benar al kitab simpang benar
2,177,hadap wajah arah timur barat kebaji kebaji iman allah malaikat malaikat kitab kitab nabi nabi harta cinta kerabat anak anak yatim miskin musafir tolong merdeka sahaya diri shalat tunai zakat tepat janji janji sabar sempit derita peperangan iman takwa
2,178,iman wajib qishaash bunuh merdeka merdeka wanita wanita maaf saudara maaf ikut maaf bayar diat maaf ringan tuhan rahmat lampau batas bagi siksa pedih
2,179,qishaash jamin langsung hidup bagi akal takwa
2,180,wajib datang tanda tanda maut tinggal harta wasiat karib kerabat maruf wajib takwa
2,181,ubah wasiat dengar dosa ubah allah dengar
2,182,khawatir wasiat laku berat belah buat dosa damai dosa bagi allah kam sayang
2,183,iman wajib puasa wajib takwa
2,184,sakit jalan buka wajib bagi puasa tinggal wajib berat jalan puasa bayar fidyah makan miskin rela hati kebaji bagi puasa bagi
2,185,tentu ramadhan dalam turun mula al quran tunjuk manusia jelas jelas tunjuk beda hak bathil hadir negeri tinggal puasa sakit jalan buka wajib bagi puasa tinggal allah mudah bagi sukar bagi cukup bilang agung allah tunjuk nya kepada syukur
2,186,ku kepada jawab kabul mohon doa mohon ku penuh perintah ku iman ku benar
2,187,halal malam puasa campur isteri isteri pakai bagi kamu pakai allah tahan nafsu allah ampun maaf kepada campur ikut tetap allah untuk makan minum terang bagi benang putih benang hitam fajar sempurna puasa malam campur itikaf mesjid larang allah dekat allah terang ayat ayat nya manusia takwa
2,188,makan harta jalan bathil bawa urus harta hakim makan harta benda jalan buat dosa
2,189,kepada sabit sabit tanda tanda manusia ibadat haji kebaji pasuk rumah rumah belakang kebaji kebaji takwa masuk rumah rumah pintu pintu takwa allah untung
2,190,perang jalan allah rang lampau batas allah suka lampau batas
2,191,bunuh jumpa usir usir mekah fitnah bahaya bunuh rang masjidil haram kecuali rang rang bunuh demi balas kafir
2,192,henti musuh allah kam sayang
2,193,perang fitnah taat mata allah henti musuh musuh kecuali zalim
2,194,haram haram patut hormat laku hukum qishaash serang serang imbang serang hadap takwa allah tahu allah serta takwa
2,195,belanja harta benda jalan allah jatuh diri binasa buat baik allah suka buat
2,196,sempurna ibadah haji umrah allah kepung halang musuh sakit sembelih korban mudah cukur kepala korban sembelih antara sakit ganggu kepala cukur wajib atas berfid yah puasa sedekah korban aman umrah haji haji wajib sembelih korban mudah temu binatang korban wajib puasa haji tujuh pulang puluh sempurna wajib bayar fidyah keluarga masjidil haram duduk kota mekah takwa allah tahu allah keras siksa nya
2,197,musim haji maklum tetap niat haji rafats buat fasik ban bantah haji kerja baik allah tahu bekal bekal takwa takwa ku akal
2,198,dosa bagi cari karunia rezeki hasil niaga tuhan tolak arafat berdzikirlah allah masyarilharam berdzikirlah sebut allah nya kepada sesat
2,199,tolak tolak arafah mohon ampun allah allah kam sayang
2,200,selesai ibadah haji berdzikirlah sebut allah sebut nyebut bangga bangga nenek moyang berdzikirlah manusia bendoa ya tuhan ilah baik dunia bagi bahagian senang akhirat
2,201,doa ya tuhan ilah baik dunia baik akhirat pelihara siksa neraka
2,202,bahagian usaha allah cepat hitung nya
2,203,berdzikirlah sebut allah bilang cepat berangkat mina tiada dosa bagi tangguh berangkat dosa bagi takwa takwa allah tahu kumpul nya
2,204,manusia ucap hidup dunia tarik hati saksi allah benar isi hati tantang keras
2,205,paling jalan bumi ada rusa rusak tanam tanam binatang ternak allah suka binasa
2,206,takwa allah bangkit sombong sebab buat dosa balas neraka neraka tinggal buruk buruk
2,207,manusia korban cari keridhaan allah allah santun nya
2,208,iman masuk islam langkah langkah syaitan syaitan musuh nyata bagi
2,209,simpang jalan allah kepada bukti bukti benar tahu allah perkasa bijaksana
2,210,tiada nanti datang allah malaikat kiamat naung awan putus perkara allah kembali urus
2,211,tanya bani israil banyak tanda tanda benar nyata tukar nikmat allah nikmat allah keras siksa nya
2,212,hidup dunia jadi indah pandang kafir pandang hina iman takwa mulia kiamat allah rezeki hendak nya batas
2,213,manusia umat timbul selisih allah utus nabi beri ingat allah turun kitab putus manusia perkara selisih selisih kitab kitab terang terang nyata dengki allah tunjuk iman benar perselisihkann hendak nya allah tunjuk hendak nya jalan lurus
2,214,masuk surga kepada coba hal timpa malapetaka sengsara digoncangkan coba kata rasul iman sama datang tolong allah ingat tolong allah
2,215,nafkah jawab harta nafkah kaum kerabat anak anak yatim miskin jalan baik allah tahu
2,216,wajib perang perang benci benci bagi suka buruk bagi allah
2,217,kepada perang haram perang dosa halang manusia jalan allah kafir allah halang masuk masjidilharam usir duduk dosa sisi allah buat fitnah dosa bunuh henti henti rang kembali agama kafir anda sanggup murtad agama mati kafir sia sia amal dunia akhirat huni neraka kekal dalam
2,218,iman hijrah jihad jalan allah harap rahmat allah allah kam sayang
2,219,kepada khamar judi dosa manfaat manusia dosa manfaat kepada nafkah perlu allah terang ayat ayat nya kepada berfikir
2,220,dunia akhirat kepada anak yatim kataka urus urus patut gaul saudara allah rusa ada baik allah sulit kepada allah perkasa bijaksana
2,221,nikah wanita wanita musyrik iman wanita budak mukmin wanita musyrik tarik hati nikah musyrik wanita wanita mukmin iman budak mukmin musyrik tarik hati ajak neraka allah ajak surga ampun izin nya allah terang ayat ayat nya perintah perintah nya manusia ambil ajar
2,222,kepada haidh haidh kotor jauh wanita haidh dekat suci suci campur perintah allah kepada allah suka taubat suka suci
2,223,isteri isterimu tanah cocok tanam datang tanah cocok tanam hendak kerja amal diri takwa allah tahu kelak temu nya ilah kabar gembira iman
2,224,jangahlah jadi nama allah sumpah halang buat kebaji takwa ada ishlah manusia allah dengar
2,225,allah hukum sebab sumpah sumpah allah hukum sebab sumpah sengaja sumpah hati allah kam santun
2,226,meng ilaa isterinya tangguh isterinya allah kam sayang
2,227,azam tetap hati talak allah dengar
2,228,wanita wanita talak handaklah tahan tunggu kali quru sembunyi cipta allah rahim iman allah akhirat suami suami hak rujuk suami ishlah wanita hak imbang wajib maruf suami tingkat lebih isterinya allah perkasa bijaksana
2,229,talak rujuk kali rujuk maruf cerai halal ambil kecuali khawatir jalan hukum hukum allah khawatir suami isteri jalan hukum hukum allah dosa bayar isteri tebus hukum hukum allah langgar langgar hukum hukum allah zalim
2,230,si suami talak talak perempuan halal bagi kawin suami suami cerai dosa bekas suami isteri kawin dapat jalan hukum hukum allah hukum hukum allah terang nya kaum
2,231,talak isteri isterimu dekat iddahnya rujuk maruf cerai maruf rujuk kemudharatan aniaya buat buat zalim jadi hukum hukum allah main ingat nikmat allah pada turun allah kepada al kitab al hikmah as sunnah allah ajar kepada turun nya takwa allah tahu allah
2,232,talak isteri isterimu habis iddahnya wali halang kawin suami rela maruf nasehat iman allah bagi suci allah
2,233,susu anak anak penuh sempurna susu wajib ayah makan pakai maruf beban kadar sanggup derita sengsara anak ayah anak waris wajib sapih rela musyawarat dosa anak susu dosa bagi bayar patut takwa allah tahu allah kerja
2,234,tinggal dunia antara tinggal isteri isteri isteri tangguh beriddah puluh habis iddahnya tiada dosa bagi wali biar buat patut allah buat
2,235,dosa pinang wanita wanita sindir sembunyi awin hati allah sebut nyebut ada janji kawin rahasia kecuali dar kata maruf azam tetap hati beraqad nikah habis iddahnya tahu allah hati takut nya tahu allah kam santun
2,236,wajib bayar mahar cerai isteri isteri campur tentu mahar mutah beri mampu miskin mampu beri patut tentu buat kebaji
2,237,cerai isteri isterimu campur tentu mahar bayar dua mahar tentu kecuali isteri isterimu maaf maaf pegang ikat nikah maaf takwa lupa utama allah kerja
2,238,pelihara shalatmu pelihara shalat wusthaa diri allah shalatmu khusyu
2,239,takut bahaya shalatlah jalan kendara aman allah shalatlah allah ajar tahu
2,240,tinggal dunia tinggal isteri wasiat isteri isterinya nafkah tahun suruh pindah rumah pindah dosa bagi wali waris tinggal biar buat maruf allah perkasa bijaksana
2,241,wanita wanita cerai suami mutah maruf wajib takwa
2,242,allah terang kepada ayat ayat nya hukum hukum nya paham
2,243,perhati kampung halaman ibu ribu takut mati allah firman mati allah hidup allah karunia manusia banyak manusia syukur
2,244,rang jalan allah tahu allah dengar
2,245,pinjam allah pinjam nafkah harta jalan allah allah meperlipat ganda bayar lipat ganda allah sempit lapang rezeki nya kembali
2,246,perhati muka muka bani israil nabi musa nabi angkat raja perang pimpin jalan allah nabi wajib perang perang perang jalan allah usir anak anak perang wajib mereka paling kecuali allah zalim
2,247,nabi allah angkat thalut raja thalut perintah hak kendali perintah daripada dia kaya nabi allah pilih raja anugerah ilmu luas tubuh perkasa allah perintah hendak nya allah luas beri nya
2,248,nabi tanda raja kembali tabut kepada dalam tenang tuhan sisa tinggal musa harun tabut bawa malaikat tanda bagi iman
2,249,thalut bawa tentara allah uji sungai minum air ikut tiada minum kecuali ceduk ceduk tangan ikut minum kecuali thalut iman rang sungai minum sanggup lawan jalut tentara temu allah golong kalah golong izin allah allah serta sabar
2,250,jalut tentara nampak mereka thalut tentara doa ya tuhan tuang sabar kokoh diri tolong kafir
2,251,tentara thalut kalah tentara jalut izin allah peperangan daud bunuh jalut allah daud perintah hikmah tinggal thalut ajar hendak nya anda allah tolak ganas umat manusia rusak bumi allah karunia curah semesta alam
2,252,ayat ayat allah baca kepada hak salah nabi nabi utus
2,253,rasul rasul lebih allah langsung bagi allah tinggi derajat isa putera maryam mukjizat kuat ruhul qudus allah bunuh bunuh rasul rasul terang selisih iman kafir anda allah bunuh bunuh allah buat hendak nya
2,254,iman belanja jalan allah rezeki kepada jual beli syafaat kafir zalim
2,255,allah tuhan hak sembah hidup kekal terus urus makhluk nya antuk tidur punya nya langit bumi tiada syafaat sisi allah izin nya allah hadap ilmu allah hendak nya kursi allah liput langit bumi allah berat pelihara allah
2,256,paksa pasuk agama islam jalan jalan sesat ingkar thaghut iman allah pegang buhul tali kuat putus allah dengar
2,257,allah lindung iman keluar gelap kafir cahaya iman kafir lindung lindung syaitan keluar cahaya gelap kafir huni neraka kekal dalam
2,258,perhati debat ibrahim tuhan allah allah perintah kuasa ibrahim tuhan hidup mati hidup mati ibrahim allah terbit matahari timur terbit barat diam kafir allah tunjuk zalim
2,259,perhati negeri tembok roboh tutup atap allah hidup negeri hancur allah mati ratus hidup allah tinggal tinggal hari allah firman tinggal ratus lihat makan minum beubah lihat keledai tulang belulang jadi tanda kuasa manusia lihat tulang belulang keledai susun balut daging nyata allah hidup mati dia allah kuasa
2,260,ingat ibrahim ya tuhan lihat kepada engkau hidup mati allah firman yakin ibrahim yakin hati mantap iman allah firman ambil ekor burung cincang oleh allah firman letak atas bukit panggil kepada tahu allah perkasa bijaksana
2,261,umpama nafkah keluar nafkah harta jalan allah butir benih tumbuh tujuh bulir bulir ratus biji allah lipat ganda ganjar hendak allah luas karunia nya
2,262,nafkah harta jalan allah iring nafkah sebut nyebut beri sakit asa si terima oleh pahala sisi tuhan khawatir sedih hati
2,263,kata beri maaf sedekah iring sakit asa si terima allah kaya santun
2,264,iman hilang pahala sedekah sebut nyebutnya sakit asa si terima nafkah harta riya manusia iman allah umpama batu licin atas tanah batu timpa hujan lebat jadi bersih tanah kuasa sesuatu usaha allah tunjuk kafir
2,265,umpama belanja harta cari keridhaan allah teguh jiwa kebun letak datar siram hujan lebat kebun hasil buah kali lipat hujan lebat siram hujan gerimis pada allah buat
2,266,salah antara kebun kurma anggur alir bawah sungai sungai kebun buah buah datang tua turun kebun tiup angin keras kandung api bakar allah terang ayat ayat nya pikir
2,267,iman nafkah jalan allah hasil usaha keluar bumi pilih buruk buruk nafkah daripada ambil memincingkan mata tahu allah kaya puji
2,268,syaitan janji takut nakuti miskin suruh buat jahat kikir allah jadi untuk ampun nya karunia allah luas karunia nya mengatahui
2,269,allah anugerah al hikmah kefahaman al quran as sunnah hendak nya anugerah hikmah anugerah karunia akal ambil ajar firman allah
2,270,nafkah nazar allah tahu buat zalim tolong bagi
2,271,tampak sedekah sembunyi fakir sembunyi bagi allah hapus salah salah allah kerja
2,272,wajib jadi tunjuk allah tunjuk taufiq hendak nya harta nafkah jalan allah pahala belanja cari keridhaan allah harta nafkah pahala sedikit aniaya rugi
2,273,berinfaqlah fakir ikat jihad jalan allah usaha bumi sangka kaya pelihara kenal sifat sifat desak harta nafkah jalan allah allah mengatahui
2,274,nafkah harta malam siang sembunyi terang terang pahala sisi tuhan khawatir sedih hati
2,275,makan ambil riba diri diri masuk syaitan lantar tekan sakit gila sebab dapat jual beli riba allah halal jual beli haram riba larang tuhan henti ambil riba bagi ambil larang urus serah allah ambil riba huni huni neraka kekal dalam
2,276,allah musnah riba subur sedekah allah suka kafir buat dosa
2,277,iman amal saleh diri shalat tunai zakat pahala sisi tuhan khawatir sedih hati
2,278,iman takwa allah tinggal sisa riba pungut iman
2,279,tinggal sisa riba tahu allah rasul nya merang taubat ambil riba bagi pokok harta aniaya aniaya
2,280,hutang sukar ilah tangguh lapang sedekah utang bagi
